id,city_name,latitude,longitude,country_code
528,Kimberly,33.768355,-86.808417,USA
529,Kinston,31.262118,-86.069532,USA
530,Knoxville,32.982423,-87.791855,USA
531,Laceys Spring,34.499647,-86.612869,USA
532,Lafayette,32.925237,-85.442563,USA
533,Lanett,32.861609,-85.21608,USA
534,Langston,34.497831,-86.10563,USA
535,Lapine,31.985423,-86.278534,USA
536,Lawley,32.864558,-86.956708,USA
537,Leeds,33.528333,-86.574824,USA
538,Leesburg,34.191083,-85.77051,USA
539,Leighton,34.710982,-87.522133,USA
540,Lenox,31.327261,-87.19671,USA
541,Leroy,31.491021,-87.968672,USA
542,Lester,34.918364,-87.143396,USA
543,Letohatchee,32.086199,-86.488013,USA
544,Lexington,34.955924,-87.393519,USA
545,Lillian,30.39724,-87.474452,USA
546,Lincoln,33.605913,-86.111152,USA
547,Linden,32.305343,-87.795358,USA
548,Lineville,33.328613,-85.734609,USA
549,Lisman,32.217722,-88.323419,USA
550,Little River,31.22459,-87.754796,USA
551,Livingston,32.588509,-88.173592,USA
552,Loachapoka,32.604167,-85.593333,USA
553,Lockhart,31.010278,-86.349722,USA
554,Locust Fork,33.9075,-86.615278,USA
555,Logan,34.184079,-87.038115,USA
556,Louisville,31.794262,-85.558062,USA
557,Lower Peach Tree,31.850365,-87.568224,USA
558,Lowndesboro,32.300292,-86.609868,USA
559,Loxley,30.617964,-87.75624,USA
560,Luverne,31.70739,-86.256601,USA
561,Lynn,34.052984,-87.539814,USA
562,Madison,34.6578,-86.8056,USA
563,Magnolia,32.141931,-87.699815,USA
564,Magnolia Springs,30.394497,-87.785781,USA
565,Malcolm,31.191111,-88.0075,USA
566,Malvern,31.157528,-85.522327,USA
567,Maplesville,32.804507,-86.871704,USA
568,Marbury,32.639373,-86.510138,USA
569,Margaret,33.686111,-86.475,USA
570,Marion,32.646301,-87.331437,USA
571,Marion Junction,32.426589,-87.270181,USA
572,Mathews,32.128288,-86.041262,USA
573,Maylene,33.231694,-86.872745,USA
574,Mc Calla,33.284546,-87.102379,USA
575,Mc Intosh,31.236108,-88.051102,USA
576,Mc Kenzie,31.54495,-86.735615,USA
577,Mc Shan,33.381667,-88.143333,USA
578,Mc Williams,31.845556,-87.088333,USA
579,Megargel,31.379722,-87.428333,USA
580,Melvin,31.930278,-88.458889,USA
581,Mentone,34.587236,-85.577728,USA
